college,Branch,Gender,age,address,Nation,famsize,firstchild,siblings,Pstatus,PrelationQ,Medu,Fedu,Mjob,Fjob,famincome,Povertyline,houstatus,workstatus,PermAdd,TypeofLivng,FrndCircle,reasonforjoin,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,PCathome,internet,Phoneusage,romantic,famrel,freetime,goout,dalc,walc,Crimeact,NcrimAct,Harrasment,Discrimnation,health,lonlineess,LangUsdTeacher,PrerequistSkill,DificultyLevel,Expofprivate,GenofTeacher,QualityofNotes,Motvatnofprivate,Clasize,ClasComm,workload,FeedbckonTeaching,absences,Infrastucture,TutionFee,WaterFacility,ToiletFacility,TransportSystem,library,wifi,teachingMode,Training,CulturalAct,ragging,StressTimPresure,Self-Discipline,diligent,Communication,Punctual,Groupdiscussion,courteous,teamplayer,Creativethink,Responsible,Conduct,WR-1,WR-2,ST-1,ST-2,ST-3,AWR,SWR,ACTIVITY,FINAL
KVG,CS,F,18,U,Indian,GT3,yes,yes,A,5,4,4,at_home,private,2,above,yes,yes,yes,2,1,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,2,no,4,3,4,1,1,no,no,yes,no,3,yes,English,yes,5,1,F,2,5,1,2,4,3,6,2,2,2,2,2,1,2,online,no,no,yes,yes,4,3,2,2,2,2,3,2,3,5,6,6,8,7,7,6,6,6,18
KVG,CS,F,17,U,Indian,GT3,no,no,T,1,1,1,at_home,business,1,above,no,no,no,2,2,course,father,1,1,0,no,yes,no,no,no,yes,yes,yes,2,no,5,3,3,1,1,no,no,no,no,3,no,English,yes,3,1,F,2,4,1,1,1,1,4,2,4,2,1,2,2,2,online,no,no,yes,yes,3,1,1,3,3,5,4,3,2,4,6,6,7,7,8,6,6,6,18
KVG,CS,F,15,U,Indian,LE3,yes,no,T,1,1,1,at_home,business,1,below,no,yes,yes,4,2,other,mother,1,2,3,yes,no,yes,no,yes,yes,yes,yes,3,no,4,3,2,2,3,yes,yes,no,no,3,no,English,no,5,2,F,3,2,1,2,4,4,10,3,4,5,5,3,3,3,online,yes,yes,no,yes,4,1,3,4,3,2,2,1,1,4,10,9,10,13,12,10,9,10,29
KVG,CS,F,15,U,Indian,GT3,no,yes,T,2,4,2,at_home,selfemployed,5,above,no,no,yes,1,4,home,mother,1,4,0,no,yes,yes,yes,yes,yes,yes,yes,2,yes,3,2,2,1,1,no,no,no,no,5,no,Kannada,no,2,2,M,4,4,1,4,3,5,2,4,3,4,5,4,4,4,offline,yes,yes,no,no,5,4,4,3,3,3,3,4,3,3,15,14,18,16,15,15,12,17,44
KVG,CS,F,16,U,Indian,GT3,yes,yes,T,1,3,3,other,business,2,above,no,no,no,1,3,home,father,1,2,0,no,yes,yes,no,no,no,no,no,2,no,4,3,2,1,2,no,no,no,no,5,no,English,no,4,4,F,3,3,1,2,4,4,4,3,3,3,3,3,3,3,offline,yes,yes,no,no,3,3,3,2,2,1,1,2,2,3,10,10,10,15,13,10,10,10,30
KVG,CS,M,16,U,Indian,LE3,no,yes,T,5,4,3,selfemployed,business,2,above,no,no,no,3,3,reputation,mother,1,4,0,no,yes,yes,yes,yes,yes,yes,yes,2,no,5,4,2,1,2,no,no,no,no,5,no,Kannada,no,2,2,M,4,5,1,4,3,5,10,1,1,4,4,5,5,5,offline,yes,yes,no,no,4,4,2,4,3,3,4,1,1,5,15,15,18,16,15,15,12,18,45
KVG,CS,M,16,U,Indian,LE3,no,yes,T,4,2,2,other,business,3,above,no,no,yes,1,4,home,mother,1,3,0,no,no,no,no,yes,yes,yes,yes,4,no,4,4,4,1,1,no,no,no,no,3,no,English,no,4,2,F,4,5,1,3,3,4,0,4,1,4,4,4,4,4,offline,yes,yes,no,no,4,5,4,3,3,2,2,3,3,4,11,11,10,13,12,11,9,13,33
KVG,CS,F,17,R,Indian,GT3,no,no,A,3,4,4,other,private,3,above,no,no,yes,1,4,home,mother,2,2,0,yes,yes,no,no,no,no,no,no,4,no,4,1,4,1,1,no,no,no,yes,1,no,English,no,4,3,M,2,3,1,2,4,3,6,2,4,2,2,2,2,2,online,no,no,no,yes,3,3,1,3,3,2,4,3,2,3,6,6,8,7,7,6,6,6,18
KVG,CS,M,15,U,Indian,LE3,yes,yes,A,2,3,2,selfemployed,business,4,above,no,no,yes,1,4,home,mother,1,4,0,no,yes,yes,no,yes,yes,no,no,4,no,4,2,2,1,1,no,no,no,no,1,no,Kannada,no,2,2,F,5,4,1,4,2,5,0,4,2,4,4,4,4,4,offline,yes,yes,no,no,5,5,3,5,4,4,5,2,2,5,19,18,20,20,19,19,15,20,56
KVG,CS,M,15,U,Indian,GT3,yes,yes,A,5,3,4,private,business,4,above,no,yes,yes,1,4,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,no,2,no,5,5,1,1,1,no,no,no,no,5,no,English,no,5,1,F,2,5,1,2,4,2,0,2,2,2,2,2,1,1,online,no,no,yes,yes,4,3,2,2,2,2,3,2,3,5,15,15,18,16,15,15,12,16,45
KVG,CS,F,15,U,Indian,GT3,no,no,T,1,4,4,government,business,5,above,no,no,yes,1,4,home,mother,1,1,0,no,yes,yes,yes,yes,yes,no,no,2,no,3,3,3,1,2,no,no,no,no,2,no,English,no,3,1,F,2,4,1,1,2,3,0,2,4,2,2,2,2,2,online,no,no,yes,yes,3,3,1,3,3,5,4,3,2,4,9,8,10,13,12,9,9,8,26
KVG,CS,F,15,U,Indian,GT3,yes,no,T,1,2,1,other,business,3,above,no,yes,yes,3,3,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,no,no,3,no,5,2,2,1,1,no,no,no,no,4,no,English,no,5,2,F,3,1,1,2,4,4,4,4,4,5,5,1,3,3,online,yes,yes,no,yes,4,4,3,4,3,2,2,1,1,4,12,12,10,15,13,12,10,14,36
KVG,CS,M,15,U,Indian,LE3,no,yes,T,2,4,4,selfemployed,selfemployed,3,above,no,no,yes,3,3,reputation,father,3,4,0,no,yes,no,yes,yes,yes,no,no,5,no,4,3,3,1,3,yes,yes,yes,yes,5,yes,Kannada,no,2,2,M,4,4,1,4,3,5,2,4,3,4,4,4,4,4,offline,yes,yes,no,no,5,4,4,3,3,3,3,4,3,1,14,14,13,18,20,14,13,15,42
KVG,CS,M,15,U,Indian,GT3,yes,yes,T,1,4,3,private,business,2,above,no,no,no,2,1,course,father,1,2,0,no,yes,yes,yes,yes,yes,no,no,3,no,5,4,3,1,2,no,no,no,no,3,no,English,no,4,4,F,3,3,2,2,4,4,2,3,5,3,3,3,3,3,offline,yes,yes,no,no,3,3,3,2,2,1,1,2,2,3,11,10,14,12,12,11,10,11,32
KVG,EC,M,15,U,Indian,GT3,no,yes,T,5,2,2,at_home,business,2,above,no,no,no,2,2,course,mother,2,4,0,no,yes,yes,no,yes,yes,yes,yes,2,no,4,5,2,1,1,no,no,no,no,3,no,English,no,2,2,M,4,5,2,4,3,5,0,1,3,5,5,5,5,5,offline,yes,yes,no,no,4,4,2,4,3,3,4,1,1,5,16,16,19,17,17,16,13,17,48
KVG,EC,F,16,U,Indian,GT3,no,yes,T,4,4,4,other,business,2,above,no,no,no,1,2,home,other,1,3,0,no,yes,no,no,yes,yes,no,no,2,yes,4,4,4,1,2,no,no,no,no,2,no,English,no,4,2,F,4,5,2,3,3,4,4,4,5,4,4,4,4,4,offline,yes,yes,no,no,4,5,4,3,3,2,2,3,3,4,14,14,13,18,20,14,13,15,42
KVG,EC,F,16,U,Indian,GT3,no,no,A,3,4,4,selfemployed,selfemployed,2,above,no,no,no,1,2,home,mother,1,2,0,no,yes,no,no,yes,yes,no,no,2,no,3,2,3,1,2,no,no,no,no,2,no,Kannada,yes,4,3,M,2,3,2,2,4,3,6,2,4,2,2,2,2,2,online,no,no,no,yes,3,3,1,3,3,2,4,3,2,3,14,14,18,13,20,14,13,15,42
KVG,EC,F,16,U,Indian,GT3,yes,yes,A,2,3,3,other,other,1,below,yes,yes,no,3,2,reputation,mother,1,4,0,no,yes,yes,yes,yes,yes,no,no,2,no,5,3,2,1,1,no,no,no,no,4,no,Kannada,yes,2,2,F,5,4,2,4,2,5,4,4,2,4,4,4,4,4,offline,yes,yes,no,no,5,5,3,5,4,4,5,2,2,5,10,10,12,12,14,10,10,10,30
KVG,EC,M,17,U,Indian,GT3,yes,yes,T,2,3,2,selfemployed,selfemployed,2,above,no,no,yes,3,2,reputation,mother,3,1,0,yes,yes,no,yes,yes,yes,no,no,3,no,5,5,5,2,4,no,no,no,no,5,no,Kannada,no,1,2,F,1,1,2,1,5,1,1,5,2,1,1,5,5,5,online,no,yes,yes,yes,1,2,5,1,5,5,2,5,5,1,5,5,13,12,12,5,9,5,15
KVG,EC,F,17,U,Indian,GT3,yes,yes,T,2,3,2,selfemployed,selfemployed,2,above,no,no,yes,2,2,course,mother,1,1,3,no,yes,no,yes,yes,yes,no,no,3,no,5,5,5,1,4,no,no,no,no,5,no,Kannada,no,1,2,F,1,1,2,1,5,1,4,5,1,3,1,1,1,1,online,no,no,no,no,1,2,5,1,5,4,3,3,3,3,10,10,12,14,12,10,10,10,30
KVG,EC,M,15,U,Indian,GT3,no,yes,T,5,4,3,private,other,2,above,yes,yes,yes,2,1,home,father,2,2,0,no,no,no,no,yes,yes,yes,no,2,no,3,1,3,1,3,yes,yes,yes,yes,1,yes,Kannada,yes,5,1,M,2,5,2,2,4,3,0,4,3,4,1,2,4,2,online,no,yes,no,yes,2,2,2,2,2,3,4,1,1,5,13,13,12,12,16,13,13,13,39
KVG,EC,M,15,U,Indian,GT3,no,yes,T,1,4,4,private,other,1,below,yes,no,no,2,2,reputation,mother,2,1,0,no,yes,yes,no,yes,yes,no,no,3,no,4,4,1,1,1,no,no,no,no,5,no,Kannada,no,3,1,M,2,4,2,1,1,1,0,5,3,3,1,1,1,1,offline,no,yes,no,no,2,1,2,1,2,2,2,3,3,4,12,12,10,13,15,12,13,11,36
KVG,EC,M,16,U,Indian,LE3,no,yes,T,1,4,2,private,other,1,below,yes,yes,yes,4,2,other,father,2,2,0,no,no,no,yes,yes,yes,no,no,4,no,5,4,2,1,1,no,no,no,no,5,no,Kannada,no,5,2,M,3,2,2,2,4,4,2,4,3,2,2,2,4,2,offline,no,yes,no,no,5,5,5,5,3,2,4,3,2,3,15,14,15,14,13,15,14,15,44
KVG,EC,M,16,U,Indian,LE3,no,yes,T,2,2,2,other,other,1,above,no,no,no,1,4,course,mother,3,4,0,no,yes,no,yes,yes,yes,no,no,4,no,4,5,1,1,3,no,no,no,no,5,no,Kannada,no,2,2,M,4,4,2,4,3,5,0,3,2,2,1,4,3,4,offline,no,yes,no,no,4,5,4,5,4,4,5,2,2,5,13,13,12,12,16,13,13,13,39
KVG,EC,F,15,R,Indian,GT3,yes,no,T,1,2,4,selfemployed,other,5,above,no,no,no,1,2,reputation,mother,2,2,0,yes,yes,yes,yes,yes,yes,no,no,4,no,5,4,4,2,4,no,no,no,no,5,no,Kannada,yes,4,4,F,3,3,2,2,4,4,2,4,3,2,1,2,4,2,offline,no,yes,no,no,3,3,3,3,3,2,3,2,3,5,10,10,10,11,10,10,10,10,30
KVG,EC,F,16,U,Indian,GT3,yes,no,T,5,2,2,selfemployed,selfemployed,5,above,no,no,no,3,3,course,mother,2,4,2,no,yes,yes,no,no,yes,no,no,2,no,4,3,2,1,1,no,no,yes,yes,5,yes,English,no,2,2,F,4,5,2,4,3,5,14,5,4,2,1,4,3,4,online,no,no,no,yes,4,4,4,4,5,5,4,3,2,4,6,6,6,6,6,6,6,6,18
KVG,EC,M,15,U,Indian,GT3,no,yes,T,4,2,2,other,other,3,above,no,no,yes,1,4,home,mother,2,3,0,no,yes,yes,no,yes,yes,no,no,3,no,1,2,2,1,3,no,no,no,no,5,yes,English,no,4,2,M,4,5,2,3,3,4,2,4,4,4,1,3,3,3,offline,yes,yes,yes,no,4,4,4,4,4,2,2,1,1,4,12,12,10,13,15,12,13,11,36
KVG,EC,M,15,U,Indian,GT3,no,yes,T,3,4,2,other,selfemployed,3,above,no,no,yes,1,4,home,mother,2,2,0,no,no,yes,no,yes,yes,no,no,3,no,4,2,2,1,2,no,no,no,no,1,no,English,no,4,3,M,2,3,2,2,4,3,4,4,1,4,1,2,4,2,offline,yes,yes,yes,no,2,2,2,2,2,3,3,4,3,1,15,14,15,14,13,15,14,16,44
KVG,EC,M,16,U,Indian,LE3,no,yes,A,2,3,4,selfemployed,other,4,above,no,no,yes,1,5,other,mother,2,4,0,yes,yes,no,yes,yes,yes,no,no,3,no,2,2,4,2,4,no,no,no,no,5,no,English,no,2,2,M,5,4,2,4,2,5,4,4,2,2,1,4,2,4,offline,yes,yes,yes,no,4,4,4,4,4,1,1,2,2,3,11,11,10,11,10,11,10,10,33
KVG,EC,M,16,U,Indian,GT3,no,yes,T,5,4,4,private,private,4,above,no,no,yes,1,4,home,mother,2,2,0,no,yes,yes,yes,yes,yes,no,no,2,no,5,3,3,1,1,no,no,no,no,5,no,English,yes,5,1,M,2,5,2,2,4,2,16,5,5,1,1,2,4,2,online,no,no,no,yes,2,2,2,2,2,3,4,1,1,5,10,11,10,10,9,11,10,10,32
KVG,EC,M,15,U,Indian,GT3,no,yes,T,1,4,4,private,selfemployed,5,above,no,no,yes,1,4,home,mother,2,1,0,no,yes,yes,no,no,yes,no,no,4,yes,4,4,5,5,5,no,no,no,no,5,no,English,no,3,1,M,2,4,2,1,2,3,0,3,3,3,1,1,2,1,offline,yes,yes,no,no,2,2,2,2,2,2,2,3,3,4,9,9,10,11,11,9,11,7,27
KVG,EC,M,15,U,Indian,GT3,no,yes,T,1,4,4,selfemployed,selfemployed,3,above,no,no,yes,3,2,home,mother,2,2,0,no,yes,no,yes,yes,yes,no,no,4,no,5,4,2,3,4,no,no,no,no,5,no,English,no,5,2,M,3,1,2,2,4,4,0,5,2,2,1,2,4,2,offline,yes,yes,no,no,5,5,5,5,1,2,4,3,2,3,17,17,14,16,15,17,15,19,51
KVG,EC,M,15,R,Indian,GT3,no,yes,T,2,4,3,private,other,3,above,no,no,yes,3,3,reputation,mother,3,4,0,no,yes,no,yes,yes,yes,yes,yes,4,no,4,3,1,1,1,no,no,no,no,5,no,English,no,2,2,M,4,4,2,4,3,5,0,4,3,3,1,4,3,4,offline,yes,yes,no,no,4,4,4,4,4,4,5,2,2,5,17,17,16,15,14,17,15,19,51
KVG,EC,M,15,U,Indian,LE3,no,yes,T,1,3,3,other,other,2,above,no,no,no,2,1,course,mother,1,2,0,no,no,no,yes,no,yes,yes,yes,4,yes,4,5,2,1,1,no,no,no,no,2,no,English,no,4,4,M,3,3,2,2,4,4,0,5,4,3,1,2,4,2,offline,yes,yes,no,no,3,3,3,3,3,5,2,5,5,1,8,8,10,10,10,8,10,6,24
KVG,EC,M,16,U,Indian,GT3,no,yes,T,5,3,2,other,business,2,above,no,no,no,2,2,course,mother,2,4,0,no,yes,yes,no,no,yes,yes,yes,5,no,5,3,2,1,1,no,no,no,no,5,no,English,no,2,2,M,4,5,2,4,3,5,0,4,5,2,1,4,3,4,offline,yes,yes,no,no,5,5,5,5,5,5,4,3,2,4,12,12,10,13,15,12,13,11,36
KVG,EC,F,15,U,Indian,GT3,yes,no,T,4,2,3,other,business,2,above,no,no,no,1,5,home,mother,3,3,0,no,yes,no,yes,yes,yes,no,no,5,no,5,4,3,1,1,no,no,no,no,5,no,English,no,4,2,F,4,5,2,3,3,4,0,4,4,4,1,3,3,3,offline,yes,yes,no,no,4,4,4,4,4,2,2,1,1,4,8,8,10,10,10,8,10,6,24
KVG,EC,M,15,U,Indian,LE3,no,yes,T,3,4,3,private,selfemployed,2,above,no,no,no,1,5,other,father,1,2,0,no,yes,no,yes,yes,yes,no,no,3,no,3,5,1,1,1,no,yes,no,no,4,no,English,no,4,3,M,2,3,2,2,4,3,2,3,2,3,1,2,4,2,offline,yes,yes,no,no,2,2,2,2,2,3,3,4,3,1,15,15,18,16,15,15,12,16,45
KVG,EC,M,16,R,Indian,GT3,no,yes,A,2,4,4,other,private,1,below,yes,yes,no,3,2,home,mother,3,4,0,no,yes,no,yes,yes,yes,no,no,2,no,5,4,3,1,1,no,no,no,no,5,no,English,no,2,2,M,5,4,2,4,2,5,7,5,3,2,1,4,2,4,offline,yes,yes,no,no,4,4,4,4,4,1,1,2,2,3,15,15,18,16,15,15,12,16,45
KVG,EC,F,15,R,Indian,GT3,yes,no,T,2,3,4,selfemployed,private,5,above,no,no,yes,3,1,reputation,mother,2,1,0,yes,yes,yes,yes,yes,yes,no,no,5,yes,2,4,3,1,1,no,no,no,no,5,no,English,no,1,2,F,1,1,2,1,5,1,2,5,5,5,2,2,4,1,offline,yes,yes,no,no,1,1,1,1,5,4,3,2,2,1,12,12,10,13,15,12,13,11,36
KVG,EC,F,15,R,Indian,GT3,yes,no,T,2,2,2,at_home,other,2,above,no,no,yes,2,2,course,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,no,2,no,4,3,2,1,1,no,no,no,yes,2,yes,English,yes,1,2,F,1,1,2,1,5,1,8,5,5,5,1,1,1,1,offline,yes,yes,no,no,1,3,1,2,4,2,2,5,1,1,14,14,13,18,20,14,13,15,42
KVG,CV,F,16,U,Indian,LE3,yes,no,T,1,2,2,other,business,3,above,no,no,yes,2,3,reputation,mother,1,2,1,no,yes,no,yes,no,yes,no,no,2,no,4,3,1,1,1,no,no,yes,yes,3,yes,Kannada,no,3,5,F,2,3,2,2,4,4,25,3,1,3,1,2,4,2,online,no,no,no,yes,4,1,1,4,3,1,2,4,1,1,7,7,10,7,7,7,8,0,21
KVG,CV,M,15,U,Indian,LE3,no,yes,T,3,4,4,private,other,2,above,no,no,yes,2,5,home,mother,3,1,0,no,yes,no,no,no,yes,no,no,5,yes,3,3,3,1,2,no,no,no,no,5,yes,English,no,3,5,M,5,4,2,4,3,5,8,4,4,1,1,4,3,1,offline,yes,yes,no,no,4,2,1,2,4,2,3,2,1,1,12,12,10,13,15,12,13,11,36
KVG,CV,M,15,U,Indian,GT3,no,yes,T,4,4,4,selfemployed,private,2,above,no,no,yes,4,3,home,other,2,2,0,no,yes,no,yes,yes,yes,no,no,5,yes,5,4,3,2,4,no,no,no,no,5,no,English,no,5,4,M,2,5,2,2,4,4,2,5,4,2,1,2,4,2,offline,yes,yes,no,no,5,1,1,4,3,4,4,4,1,1,19,19,18,18,17,19,18,20,57
KVG,CV,M,15,U,Indian,GT3,no,yes,T,5,2,2,selfemployed,selfemployed,3,above,no,no,yes,1,1,course,father,4,4,0,yes,yes,no,no,yes,yes,no,no,4,no,4,3,3,1,1,no,no,no,no,1,no,English,no,5,4,M,2,4,2,4,3,5,0,4,5,1,1,4,3,4,offline,yes,yes,no,yes,4,3,3,3,3,2,3,3,1,2,8,8,10,11,10,8,10,6,24
